unit,n_portion,sex,age,country,time,value
PC,0,F,Y25-64,SE,2019 ,
PC,0,F,Y25-64,SI,2019 ,
PC,0,F,Y25-64,SK,2019 ,
PC,0,F,Y25-64,TR,2019 ,
PC,0,F,Y25-64,UK,2019 ,
PC,0,F,Y35-44,AT,2019 ,36.9
PC,0,F,Y35-44,BE,2019 ,19.8
PC,0,F,Y35-44,BG,2019 ,51.2
PC,0,F,Y35-44,CY,2019 ,49.4
PC,0,F,Y35-44,CZ,2019 ,54.7
PC,0,F,Y35-44,DE,2019 ,42.8
PC,0,F,Y35-44,DK,2019 ,29.2
PC,0,F,Y35-44,EE,2019 ,49.0
PC,0,F,Y35-44,EL,2019 ,24.1
PC,0,F,Y35-44,ES,2019 ,29.1
PC,0,F,Y35-44,EU27_2020,2019 ,35.5
PC,0,F,Y35-44,EU28,2019 ,
PC,0,F,Y35-44,FI,2019 ,
PC,0,F,Y35-44,FR,2019 ,29.7
PC,0,F,Y35-44,HR,2019 ,35.9
PC,0,F,Y35-44,HU,2019 ,59.6
PC,0,F,Y35-44,IE,2019 ,30.6
PC,0,F,Y35-44,IS,2019 ,26.0
PC,0,F,Y35-44,IT,2019 ,29.8
PC,0,F,Y35-44,LT,2019 ,38.7
PC,0,F,Y35-44,LU,2019 ,59.4
PC,0,F,Y35-44,LV,2019 ,59.4
PC,0,F,Y35-44,MT,2019 ,44.1
PC,0,F,Y35-44,NL,2019 ,47.2
PC,0,F,Y35-44,NO,2019 ,29.6
PC,0,F,Y35-44,PL,2019 ,45.9
PC,0,F,Y35-44,PT,2019 ,35.2
PC,0,F,Y35-44,RO,2019 ,78.2
PC,0,F,Y35-44,RS,2019 ,64.5
PC,0,F,Y35-44,SE,2019 ,26.2
PC,0,F,Y35-44,SI,2019 ,32.4
PC,0,F,Y35-44,SK,2019 ,47.4
PC,0,F,Y35-44,TR,2019 ,37.8
PC,0,F,Y35-44,UK,2019 ,
PC,0,F,Y45-54,AT,2019 ,31.8
PC,0,F,Y45-54,BE,2019 ,22.1
PC,0,F,Y45-54,BG,2019 ,56.9
PC,0,F,Y45-54,CY,2019 ,37.6
PC,0,F,Y45-54,CZ,2019 ,54.5
PC,0,F,Y45-54,DE,2019 ,25.2
PC,0,F,Y45-54,DK,2019 ,51.3
PC,0,F,Y45-54,EE,2019 ,32.7
PC,0,F,Y45-54,EL,2019 ,32.9
PC,0,F,Y45-54,ES,2019 ,22.0
PC,0,F,Y45-54,EU27_2020,2019 ,27.7
PC,0,F,Y45-54,EU28,2019 ,
PC,0,F,Y45-54,FI,2019 ,
PC,0,F,Y45-54,FR,2019 ,25.5
PC,0,F,Y45-54,HR,2019 ,23.3
PC,0,F,Y45-54,HU,2019 ,44.0
PC,0,F,Y45-54,IE,2019 ,26.9
PC,0,F,Y45-54,IS,2019 ,33.1
PC,0,F,Y45-54,IT,2019 ,23.1
PC,0,F,Y45-54,LT,2019 ,
PC,0,F,Y45-54,LU,2019 ,36.7
PC,0,F,Y45-54,LV,2019 ,
PC,0,F,Y45-54,MT,2019 ,33.4
PC,0,F,Y45-54,NL,2019 ,40.8
PC,0,F,Y45-54,NO,2019 ,32.7
PC,0,F,Y45-54,PL,2019 ,41.9
PC,0,F,Y45-54,PT,2019 ,23.0
PC,0,F,Y45-54,RO,2019 ,81.4
PC,0,F,Y45-54,RS,2019 ,51.3
PC,0,F,Y45-54,SE,2019 ,31.5
PC,0,F,Y45-54,SI,2019 ,26.9
PC,0,F,Y45-54,SK,2019 ,60.3
PC,0,F,Y45-54,TR,2019 ,33.0
PC,0,F,Y45-54,UK,2019 ,
PC,0,F,Y45-64,AT,2019 ,30.8
PC,0,F,Y45-64,BE,2019 ,19.1
PC,0,F,Y45-64,BG,2019 ,55.0
PC,0,F,Y45-64,CY,2019 ,31.9
PC,0,F,Y45-64,CZ,2019 ,47.8
PC,0,F,Y45-64,DE,2019 ,27.3
PC,0,F,Y45-64,DK,2019 ,41.3
PC,0,F,Y45-64,EE,2019 ,38.0
PC,0,F,Y45-64,EL,2019 ,31.4
PC,0,F,Y45-64,ES,2019 ,18.6
PC,0,F,Y45-64,EU27_2020,2019 ,26.5
PC,0,F,Y45-64,EU28,2019 ,
PC,0,F,Y45-64,FI,2019 ,45.4
PC,0,F,Y45-64,FR,2019 ,22.6
PC,0,F,Y45-64,HR,2019 ,21.4
PC,0,F,Y45-64,HU,2019 ,35.8
PC,0,F,Y45-64,IE,2019 ,22.8
PC,0,F,Y45-64,IS,2019 ,35.3
PC,0,F,Y45-64,IT,2019 ,22.2
PC,0,F,Y45-64,LT,2019 ,46.0
PC,0,F,Y45-64,LU,2019 ,46.1
